test,run,start,minute,stress_min,rds_ohm,package_temp_C,flange_temp_C,drain_current_A,drain_source_V,samples
2,3,2010-02-18T16:25:54.248000,7,35.0,,35.31775,33.75634,0.04737,5.578,0
2,3,2010-02-18T16:25:54.248000,8,36.0,,41.21957,43.99347,0.0472,5.57805,0
2,3,2010-02-18T16:25:54.248000,9,37.0,,35.60802,34.31082,0.04737,5.57787,0
2,3,2010-02-18T16:25:54.248000,10,38.0,,93.46696,135.20367,0.04747,5.57715,0
2,3,2010-02-18T16:25:54.248000,11,39.0,,104.18148,146.40404,0.04706,5.57771,0
2,3,2010-02-18T16:25:54.248000,12,40.0,,103.96795,150.77639,0.04704,5.57768,0
2,3,2010-02-18T16:25:54.248000,13,41.0,,102.66381,143.89006,0.04691,5.57755,0
2,3,2010-02-18T16:25:54.248000,14,42.0,,104.81983,146.45618,0.04716,5.57784,0
2,3,2010-02-18T16:25:54.248000,15,43.0,,103.02257,147.2106,0.04755,5.57742,0
2,3,2010-02-18T16:25:54.248000,16,44.0,2.39562,179.18869,295.81611,2.22692,5.09875,37
2,3,2010-02-18T16:25:54.248000,17,45.0,2.36056,195.37738,330.07995,2.14899,5.1165,122
2,3,2010-02-18T16:25:54.248000,18,46.0,2.38824,196.00197,332.48331,2.13712,5.12056,90
2,3,2010-02-18T16:25:54.248000,19,47.0,2.35588,195.45914,333.04285,2.15881,5.11508,94
2,3,2010-02-18T16:25:54.248000,20,48.0,2.34829,195.74383,333.4543,2.15578,5.11404,100
2,3,2010-02-18T16:25:54.248000,21,49.0,2.4464,204.42453,352.7606,2.10042,5.12721,141
2,3,2010-02-18T16:25:54.248000,22,50.0,2.45008,209.78404,368.93248,2.09407,5.13015,150
2,3,2010-02-18T16:25:54.248000,23,51.0,0.07333,242.27387,532.11273,19.04957,1.39349,103
3,1,2010-02-18T17:33:21.972000,0,0.0,,44.03975,55.15374,0.04605,5.57813,0
3,1,2010-02-18T17:33:21.972000,1,1.0,,65.38896,153.93707,0.0462,5.57726,0
3,1,2010-02-18T17:33:21.972000,2,2.0,,103.11711,158.22745,0.04564,5.57788,0
3,1,2010-02-18T17:33:21.972000,3,3.0,2.50641,143.56027,284.29513,2.20907,5.10705,4
3,1,2010-02-18T17:33:21.972000,4,4.0,2.42018,194.74859,316.16878,2.11472,5.1284,139
3,1,2010-02-18T17:33:21.972000,5,5.0,2.41083,194.1758,310.48367,2.10621,5.13158,124
3,1,2010-02-18T17:33:21.972000,6,6.0,2.42702,196.08697,319.00615,2.09733,5.1322,122
3,1,2010-02-18T17:33:21.972000,7,7.0,2.44973,193.26887,320.59658,2.08767,5.13305,138
3,1,2010-02-18T17:33:21.972000,8,8.0,2.487,190.70001,306.92685,1.11572,5.34723,66
3,1,2010-02-18T17:33:21.972000,9,9.0,,170.27609,283.44563,1.50596,5.26449,0
3,1,2010-02-18T17:33:21.972000,10,10.0,,178.04143,300.09421,1.64893,5.23333,0
3,1,2010-02-18T17:33:21.972000,11,11.0,,184.02536,306.74378,1.65319,5.23369,0
3,1,2010-02-18T17:33:21.972000,12,12.0,2.97636,188.17195,316.81277,1.85845,5.18749,69
3,1,2010-02-18T17:33:21.972000,13,13.0,3.49256,182.79035,304.4451,1.63451,5.23597,16
3,1,2010-02-18T17:33:21.972000,14,14.0,,179.54947,254.52541,1.08188,5.35501,0
3,1,2010-02-18T17:33:21.972000,15,15.0,,154.0637,248.24144,1.18767,5.33255,0
3,1,2010-02-18T17:33:21.972000,16,16.0,,150.31667,240.04772,0.97739,5.37868,0
3,1,2010-02-18T17:33:21.972000,17,17.0,,155.79807,268.04387,1.55759,5.25292,0
3,1,2010-02-18T17:33:21.972000,18,18.0,,175.64402,293.18816,1.5535,5.25397,0
3,1,2010-02-18T17:33:21.972000,19,19.0,,178.48761,296.20511,1.62392,5.23891,0
3,1,2010-02-18T17:33:21.972000,20,20.0,,184.4972,306.76842,1.69685,5.22225,0
3,1,2010-02-18T17:33:21.972000,21,21.0,2.98439,192.32657,322.93768,1.7742,5.204,111
3,1,2010-02-18T17:33:21.972000,22,22.0,3.58244,191.27263,308.49204,1.51702,5.26097,86
3,1,2010-02-18T17:33:21.972000,23,23.0,,186.12998,309.9583,1.64205,5.23613,0
3,1,2010-02-18T17:33:21.972000,24,24.0,3.22994,189.28587,312.27299,1.56146,5.2491,115
3,1,2010-02-18T17:33:21.972000,25,25.0,,185.33654,305.87512,1.62668,5.23682,0
3,1,2010-02-18T17:33:21.972000,26,26.0,,180.25217,300.87298,1.70075,5.2233,0
3,1,2010-02-18T17:33:21.972000,27,27.0,2.75479,194.36911,326.82782,1.87341,5.18281,116
3,1,2010-02-18T17:33:21.972000,28,28.0,3.08104,198.60726,330.24123,1.69528,5.22114,150
3,1,2010-02-18T17:33:21.972000,29,29.0,3.28323,195.28697,324.97643,1.59662,5.24304,150
3,1,2010-02-18T17:33:21.972000,30,30.0,3.21966,191.51774,320.09098,1.62663,5.23769,150
3,1,2010-02-18T17:33:21.972000,31,31.0,5.09915,176.20903,286.47988,1.14298,5.34235,5
3,1,2010-02-18T17:33:21.972000,32,32.0,,163.83425,251.19035,0.79957,5.41619,0
4,1,2010-02-19T09:41:59.963000,0,0.0,,39.26082,47.27473,0.04728,5.58054,0
4,1,2010-02-19T09:41:59.963000,1,1.0,,35.66209,46.06217,0.04726,5.58054,0
4,1,2010-02-19T09:41:59.963000,2,2.0,,35.86438,38.84485,0.04872,5.58043,0
4,1,2010-02-19T09:41:59.963000,3,3.0,,39.08598,45.45322,0.04903,5.58047,0
4,1,2010-02-19T09:41:59.963000,4,4.0,,35.29994,37.16392,0.04925,5.58022,0
4,1,2010-02-19T09:41:59.963000,5,5.0,,100.79605,169.2214,0.04931,5.57986,0
4,1,2010-02-19T09:41:59.963000,6,6.0,,112.79196,217.9463,2.66474,4.98955,0
4,1,2010-02-19T09:41:59.963000,7,7.0,,162.76397,301.82416,2.28591,5.07272,0
4,1,2010-02-19T09:41:59.963000,8,8.0,2.32129,173.60172,318.53353,2.19678,5.09361,138
4,1,2010-02-19T09:41:59.963000,9,9.0,2.34383,178.05065,323.79759,2.1746,5.09736,150
4,1,2010-02-19T09:41:59.963000,10,10.0,2.35076,180.11756,327.05481,2.16856,5.09907,150
4,1,2010-02-19T09:41:59.963000,11,11.0,2.38188,182.28661,328.61534,2.14398,5.10619,150
4,1,2010-02-19T09:41:59.963000,12,12.0,3.20281,169.69044,296.83983,1.64873,5.22289,55
4,1,2010-02-19T09:41:59.963000,13,13.0,,160.56974,278.04602,1.47254,5.26024,0
4,1,2010-02-19T09:41:59.963000,14,14.0,2.7336,167.054,293.68627,1.90131,5.16161,21
4,1,2010-02-19T09:41:59.963000,15,15.0,2.65877,173.38171,305.02748,1.93897,5.15537,150
4,1,2010-02-19T09:41:59.963000,16,16.0,2.66182,175.66976,309.474,1.93683,5.15598,150
4,1,2010-02-19T09:41:59.963000,17,17.0,2.6487,176.67245,310.2636,1.94407,5.1519,148
4,1,2010-02-19T09:41:59.963000,18,18.0,2.66647,177.68591,312.01893,1.93377,5.15493,150
4,1,2010-02-19T09:41:59.963000,19,19.0,2.67271,178.32765,311.83324,1.92881,5.15652,150
4,1,2010-02-19T09:41:59.963000,20,20.0,2.71323,177.78871,301.55665,0.99583,5.36957,72
4,1,2010-02-19T09:41:59.963000,21,21.0,,141.56461,228.62265,1.0769,5.35277,0
4,1,2010-02-19T09:41:59.963000,22,22.0,,140.62975,231.28419,1.40038,5.2766,0
4,1,2010-02-19T09:41:59.963000,23,23.0,,155.60647,265.84146,1.7553,5.19737,0
4,1,2010-02-19T09:41:59.963000,24,24.0,,163.08031,280.6722,1.82684,5.1834,0
4,1,2010-02-19T09:41:59.963000,25,25.0,,155.8617,270.89501,1.84316,5.17855,0
4,1,2010-02-19T09:41:59.963000,26,26.0,2.73616,170.03884,296.44737,1.89186,5.1654,70
4,1,2010-02-19T09:41:59.963000,27,27.0,2.7479,173.89799,303.29212,1.88062,5.16817,150
4,1,2010-02-19T09:41:59.963000,28,28.0,2.7537,175.48398,305.97794,1.87796,5.16835,150
4,1,2010-02-19T09:41:59.963000,29,29.0,2.77498,176.58511,307.39156,1.86375,5.17139,150
4,1,2010-02-19T09:41:59.963000,30,30.0,2.78571,177.09783,307.6111,1.85679,5.17236,150
4,1,2010-02-19T09:41:59.963000,31,31.0,2.79959,177.29226,307.24271,1.84885,5.17603,150
4,1,2010-02-19T09:41:59.963000,32,32.0,2.76019,176.79921,307.22954,1.87279,5.16941,150
4,1,2010-02-19T09:41:59.963000,33,33.0,2.78838,176.70798,306.37062,1.85578,5.17453,150
4,1,2010-02-19T09:41:59.963000,34,34.0,2.80516,176.93553,306.30558,1.84544,5.17612,96
4,2,2010-02-22T13:03:05.704000,0,35.0,,34.75671,41.87315,0.05111,5.58033,0
4,2,2010-02-22T13:03:05.704000,1,36.0,,35.07005,41.30693,0.05144,5.58019,0
4,2,2010-02-22T13:03:05.704000,2,37.0,3.11463,69.53505,99.00222,0.0629,5.57962,36
4,2,2010-02-22T13:03:05.704000,3,38.0,,49.3709,65.51539,0.06298,5.5813,0
4,2,2010-02-22T13:03:05.704000,4,39.0,,38.85819,45.96325,0.06355,5.58132,0
5,1,2010-02-22T13:22:24.473000,0,0.0,,37.59154,41.76922,0.05429,5.58011,0
5,1,2010-02-22T13:22:24.473000,1,1.0,,36.96048,41.53085,0.05418,5.58,0
5,1,2010-02-22T13:22:24.473000,2,2.0,,72.21504,101.19194,0.05398,5.57994,0
5,1,2010-02-22T13:22:24.473000,3,3.0,,101.10931,150.14372,0.05412,5.57944,0
5,1,2010-02-22T13:22:24.473000,4,4.0,,126.05453,198.42388,2.96346,4.89046,0
5,1,2010-02-22T13:22:24.473000,5,5.0,,154.53166,246.84586,2.59927,4.9775,0
5,1,2010-02-22T13:22:24.473000,6,6.0,2.12486,169.06893,275.13752,2.39678,5.02113,30
5,1,2010-02-22T13:22:24.473000,7,7.0,2.19199,182.60368,294.55045,2.30184,5.04592,150
5,1,2010-02-22T13:22:24.473000,8,8.0,2.34616,190.57414,294.94093,2.16125,5.08054,141
5,1,2010-02-22T13:22:24.473000,9,9.0,2.3666,181.82732,278.15036,2.1374,5.08664,140
5,1,2010-02-22T13:22:24.473000,10,10.0,2.39557,183.2957,278.08062,2.11859,5.0903,139
5,1,2010-02-22T13:22:24.473000,11,11.0,2.47119,184.73397,278.03158,2.0631,5.10467,141
5,1,2010-02-22T13:22:24.473000,12,12.0,2.44,184.01573,278.24885,2.08753,5.09798,142
5,1,2010-02-22T13:22:24.473000,13,13.0,2.44275,183.0765,278.29823,2.08201,5.09881,139
5,1,2010-02-22T13:22:24.473000,14,14.0,2.45122,182.92942,278.14354,2.07659,5.10016,142
5,1,2010-02-22T13:22:24.473000,15,15.0,2.91153,182.0101,274.24254,1.77449,5.17407,148
5,1,2010-02-22T13:22:24.473000,16,16.0,2.85876,180.14775,272.17956,1.80794,5.1667,150
5,1,2010-02-22T13:22:24.473000,17,17.0,2.79722,179.90175,272.93316,1.84427,5.15713,150
5,1,2010-02-22T13:22:24.473000,18,18.0,2.78813,180.54803,273.54284,1.84903,5.15715,150
5,1,2010-02-22T13:22:24.473000,19,19.0,2.75083,180.48093,272.90077,1.8729,5.15143,150
5,1,2010-02-22T13:22:24.473000,20,20.0,2.77798,180.52909,273.6912,1.85624,5.15689,150
5,1,2010-02-22T13:22:24.473000,21,21.0,2.77435,179.98739,272.15325,1.85807,5.15463,150
5,1,2010-02-22T13:22:24.473000,22,22.0,2.8315,179.79862,272.43398,1.82398,5.16432,150
5,1,2010-02-22T13:22:24.473000,23,23.0,3.01641,176.86154,267.96825,1.69174,5.19467,129
5,1,2010-02-22T13:22:24.473000,24,24.0,,157.67459,235.21438,1.49769,5.24094,0
5,1,2010-02-22T13:22:24.473000,25,25.0,,171.16756,258.32459,1.8341,5.16209,0
5,1,2010-02-22T13:22:24.473000,26,26.0,,172.09425,259.68097,1.80869,5.16908,0
5,1,2010-02-22T13:22:24.473000,27,27.0,,172.20595,257.78366,1.62171,5.21205,0
5,1,2010-02-22T13:22:24.473000,28,28.0,,169.02101,254.79224,1.61945,5.21263,0
5,1,2010-02-22T13:22:24.473000,29,29.0,,172.39998,259.85248,1.78756,5.17274,0
5,1,2010-02-22T13:22:24.473000,30,30.0,,170.43572,257.40074,1.73875,5.18793,0
5,1,2010-02-22T13:22:24.473000,31,31.0,,172.93083,262.86995,1.73158,5.1858,0
5,1,2010-02-22T13:22:24.473000,32,32.0,,173.60286,262.88953,1.68824,5.19754,0
5,1,2010-02-22T13:22:24.473000,33,33.0,,172.5095,261.41421,1.71398,5.19039,0
5,2,2010-02-22T16:38:40.837000,0,34.0,,30.59386,26.92543,0.05751,5.58094,0
5,2,2010-02-22T16:38:40.837000,1,35.0,,31.28191,28.0345,0.05738,5.58089,0
6,1,2010-02-23T08:48:54.169000,0,0.0,,36.63637,40.5737,0.04013,5.58127,0
6,1,2010-02-23T08:48:54.169000,1,1.0,,36.65272,40.52415,0.04027,5.5813,0
6,1,2010-02-23T08:48:54.169000,2,2.0,,36.80611,40.36257,0.04196,5.58129,0
6,1,2010-02-23T08:48:54.169000,3,3.0,,36.84553,40.39909,0.04184,5.58119,0
6,1,2010-02-23T08:48:54.169000,4,4.0,,37.01407,40.41671,0.04292,5.58113,0
6,1,2010-02-23T08:48:54.169000,5,5.0,,37.01649,40.42305,0.04413,5.58099,0
6,1,2010-02-23T08:48:54.169000,6,6.0,,37.09679,40.45296,0.04493,5.58114,0
6,1,2010-02-23T08:48:54.169000,7,7.0,,37.11978,40.45633,0.04526,5.58104,0
6,1,2010-02-23T08:48:54.169000,8,8.0,,68.94042,99.73516,0.04555,5.58051,0
6,1,2010-02-23T08:48:54.169000,9,9.0,,71.6459,101.85287,0.04597,5.58077,0
6,1,2010-02-23T08:48:54.169000,10,10.0,,71.91634,101.90827,0.04588,5.58066,0
6,1,2010-02-23T08:48:54.169000,11,11.0,,72.45375,101.89867,0.04639,5.58034,0
6,1,2010-02-23T08:48:54.169000,12,12.0,,72.88981,102.11197,0.04696,5.58049,0
6,1,2010-02-23T08:48:54.169000,13,13.0,,73.15831,101.8701,0.04665,5.58024,0
6,1,2010-02-23T08:48:54.169000,14,14.0,,73.51812,102.0015,0.04728,5.58036,0
6,1,2010-02-23T08:48:54.169000,15,15.0,,73.80807,101.99906,0.04749,5.5802,0
6,1,2010-02-23T08:48:54.169000,16,16.0,,90.95996,147.89575,0.0479,5.58002,0
6,1,2010-02-23T08:48:54.169000,17,17.0,,100.50804,150.65754,0.0476,5.57995,0
6,1,2010-02-23T08:48:54.169000,18,18.0,,101.09102,152.01854,0.04743,5.57998,0
6,1,2010-02-23T08:48:54.169000,19,19.0,,101.38874,150.87592,0.04687,5.57995,0
6,1,2010-02-23T08:48:54.169000,20,20.0,,101.47041,150.94598,0.04734,5.57989,0
6,1,2010-02-23T08:48:54.169000,21,21.0,,101.66541,150.91556,0.04779,5.57997,0
6,1,2010-02-23T08:48:54.169000,22,22.0,,101.88721,150.84736,0.04802,5.57991,0
6,1,2010-02-23T08:48:54.169000,23,23.0,,101.96994,150.88242,0.04858,5.57988,0
6,1,2010-02-23T08:48:54.169000,24,24.0,,102.1481,150.85128,0.04916,5.57991,0
6,1,2010-02-23T08:48:54.169000,25,25.0,,102.18768,150.85823,0.04916,5.57991,0
6,1,2010-02-23T08:48:54.169000,26,26.0,,121.08002,196.66074,2.96093,4.8283,0
6,1,2010-02-23T08:48:54.169000,27,27.0,,126.31097,199.56966,0.05017,5.5794,0
6,1,2010-02-23T08:48:54.169000,28,28.0,,126.58425,199.76723,0.05093,5.57954,0
6,1,2010-02-23T08:48:54.169000,29,29.0,,126.79196,199.81514,0.05082,5.5795,0
6,1,2010-02-23T08:48:54.169000,30,30.0,,126.91403,199.79152,0.05099,5.57966,0
6,1,2010-02-23T08:48:54.169000,31,31.0,,127.01586,199.90828,0.05126,5.57948,0
6,1,2010-02-23T08:48:54.169000,32,32.0,,126.84975,199.62251,0.05151,5.57958,0
6,1,2010-02-23T08:48:54.169000,33,33.0,,126.54264,199.93005,0.05199,5.57953,0
6,1,2010-02-23T08:48:54.169000,34,34.0,,127.33495,199.56605,0.05261,5.57954,0
6,1,2010-02-23T08:48:54.169000,35,35.0,,127.47135,199.69657,0.0524,5.57939,0
6,1,2010-02-23T08:48:54.169000,36,36.0,,150.35512,246.29893,2.63398,4.90705,0
6,1,2010-02-23T08:48:54.169000,37,37.0,,153.13265,253.28488,2.48645,4.95024,0
6,1,2010-02-23T08:48:54.169000,38,38.0,2.11466,172.02795,277.90496,2.33195,4.98516,119
6,1,2010-02-23T08:48:54.169000,39,39.0,2.14995,173.23406,278.04548,2.29146,4.99511,118
6,1,2010-02-23T08:48:54.169000,40,40.0,2.19484,173.8546,277.99051,2.25644,5.00484,120
6,1,2010-02-23T08:48:54.169000,41,41.0,2.18601,174.69281,278.15169,2.2529,4.99872,120
6,1,2010-02-23T08:48:54.169000,42,42.0,2.25766,175.49807,278.15319,2.20374,5.01561,120
6,1,2010-02-23T08:48:54.169000,43,43.0,2.22725,176.30948,278.40326,2.22403,5.00717,120
6,1,2010-02-23T08:48:54.169000,44,44.0,2.2943,177.2441,278.16784,2.16124,5.02554,123
6,1,2010-02-23T08:48:54.169000,45,45.0,2.32749,179.01676,278.17679,2.13053,5.03208,124
6,1,2010-02-23T08:48:54.169000,46,46.0,2.34469,178.86441,278.1781,2.13121,5.02796,124
6,1,2010-02-23T08:48:54.169000,47,47.0,2.75058,178.25869,276.61358,1.82546,5.09814,136
6,1,2010-02-23T08:48:54.169000,48,48.0,2.6358,178.51416,277.88463,1.9161,5.08001,133
6,1,2010-02-23T08:48:54.169000,49,49.0,2.76529,178.62457,277.88943,1.82919,5.09848,137
6,1,2010-02-23T08:48:54.169000,50,50.0,2.72965,178.39193,277.75723,1.85608,5.09242,135
6,1,2010-02-23T08:48:54.169000,51,51.0,2.72436,178.5883,277.88945,1.85608,5.09429,136
6,1,2010-02-23T08:48:54.169000,52,52.0,2.74477,178.27374,276.76366,1.83491,5.10074,141
6,1,2010-02-23T08:48:54.169000,53,53.0,2.56699,178.54994,277.91646,1.96026,5.06651,130
6,1,2010-02-23T08:48:54.169000,54,54.0,2.62946,178.7795,277.96384,1.91821,5.07668,133
6,1,2010-02-23T08:48:54.169000,55,55.0,2.72907,178.96406,277.85918,1.8612,5.0922,137
6,1,2010-02-23T08:48:54.169000,56,56.0,2.73621,178.70503,277.6618,1.84898,5.09298,136
6,1,2010-02-23T08:48:54.169000,57,57.0,2.57919,178.93346,277.9169,1.94306,5.06692,132
6,1,2010-02-23T08:48:54.169000,58,58.0,2.6318,179.02752,278.06151,1.92171,5.07759,104
6,2,2010-02-23T15:43:50.768000,0,59.0,,39.15786,41.42437,0.05069,5.57975,0
6,2,2010-02-23T15:43:50.768000,1,60.0,2.28032,38.71565,41.64804,0.05059,5.57984,4
6,2,2010-02-23T15:43:50.768000,2,61.0,2.29375,80.85206,101.5659,2.0783,5.07177,84
6,2,2010-02-23T15:43:50.768000,3,62.0,2.42449,106.73414,148.75139,1.93192,5.09567,80
6,2,2010-02-23T15:43:50.768000,4,63.0,2.50528,141.56299,220.23988,2.01238,5.06528,139
6,2,2010-02-23T15:43:50.768000,5,64.0,2.81134,161.47043,252.59299,1.81531,5.10937,144
6,2,2010-02-23T15:43:50.768000,6,65.0,2.96656,173.45165,268.1381,1.69814,5.1419,107
6,2,2010-02-23T15:43:50.768000,7,66.0,4.01184,140.13201,207.90274,1.09203,5.29401,90
6,2,2010-02-23T15:43:50.768000,8,67.0,3.1222,144.92706,214.49469,1.57062,5.15576,105
6,2,2010-02-23T15:43:50.768000,9,68.0,3.13094,162.00371,245.11351,1.59316,5.15219,100
6,2,2010-02-23T15:43:50.768000,10,69.0,3.82167,145.44439,216.31287,1.27239,5.23769,115
6,2,2010-02-23T15:43:50.768000,11,70.0,4.70426,145.73904,214.31176,0.86088,5.35351,47
6,2,2010-02-23T15:43:50.768000,12,71.0,,90.94765,116.87431,0.07805,5.57944,0
6,2,2010-02-23T15:43:50.768000,13,72.0,,68.68188,77.28323,0.07072,5.57923,0
6,2,2010-02-23T15:43:50.768000,14,73.0,,56.84471,58.64879,0.07039,5.57925,0
6,2,2010-02-23T15:43:50.768000,15,74.0,,49.90361,48.35953,0.07039,5.57939,0
6,2,2010-02-23T15:43:50.768000,16,75.0,,45.73656,42.12741,0.07069,5.57927,0
6,2,2010-02-23T15:43:50.768000,17,76.0,,42.46728,38.03829,0.07091,5.57941,0
6,2,2010-02-23T15:43:50.768000,18,77.0,,39.91366,35.13692,0.07089,5.57939,0
6,2,2010-02-23T15:43:50.768000,19,78.0,,38.30581,33.03645,0.07073,5.57922,0
6,2,2010-02-23T15:43:50.768000,20,79.0,,36.83396,31.57473,0.07033,5.57951,0
6,2,2010-02-23T15:43:50.768000,21,80.0,,35.62381,30.4713,0.06997,5.57945,0
6,2,2010-02-23T15:43:50.768000,22,81.0,,34.91002,29.64337,0.06986,5.57936,0
6,2,2010-02-23T15:43:50.768000,23,82.0,,34.23735,28.99728,0.06953,5.57947,0
6,2,2010-02-23T15:43:50.768000,24,83.0,,33.77709,28.52495,0.06918,5.57939,0
6,2,2010-02-23T15:43:50.768000,25,84.0,,33.30719,28.12809,0.0689,5.57946,0
6,2,2010-02-23T15:43:50.768000,26,85.0,,32.9146,27.83699,0.06862,5.5794,0
6,2,2010-02-23T15:43:50.768000,27,86.0,,32.60433,27.57766,0.06832,5.57963,0
6,2,2010-02-23T15:43:50.768000,28,87.0,,32.41565,27.377,0.06813,5.57953,0
