batch_id,batch_date,component_id,serial,socket,hour,leakage_nA,vth_V,rds_on_mOhm,gate_leak_nA
LOT-2601,2026-07-06,C-034,SN260100034,E2,0,45.53,2.9974,203.84,3.059
LOT-2601,2026-07-06,C-034,SN260100034,E2,24,47.11,2.9859,205.39,3.27
LOT-2601,2026-07-06,C-034,SN260100034,E2,96,50.16,2.976,205.39,3.57
LOT-2601,2026-07-06,C-034,SN260100034,E2,168,50.63,2.9652,206.96,3.687
LOT-2601,2026-07-06,C-035,SN260100035,E3,0,59.9,3.1468,206.09,2.244
LOT-2601,2026-07-06,C-035,SN260100035,E3,24,60.88,3.0126,207.68,2.362
LOT-2601,2026-07-06,C-035,SN260100035,E3,96,63.34,2.8796,208.63,2.58
LOT-2601,2026-07-06,C-035,SN260100035,E3,168,61.55,2.7738,208.66,2.728
LOT-2601,2026-07-06,C-036,SN260100036,E4,0,54.78,2.9246,203.81,2.623
LOT-2601,2026-07-06,C-036,SN260100036,E4,24,61.33,2.914,204.56,2.637
LOT-2601,2026-07-06,C-036,SN260100036,E4,96,64.4,2.9191,205.54,3.023
LOT-2601,2026-07-06,C-036,SN260100036,E4,168,68.89,2.9102,205.75,3.107
LOT-2601,2026-07-06,C-037,SN260100037,E5,0,34.47,2.9849,206.67,3.157
LOT-2601,2026-07-06,C-037,SN260100037,E5,24,35.15,2.9669,209.04,3.318
LOT-2601,2026-07-06,C-037,SN260100037,E5,96,38.2,2.9552,210.09,3.488
LOT-2601,2026-07-06,C-037,SN260100037,E5,168,39.78,2.9518,210.4,3.699
LOT-2601,2026-07-06,C-038,SN260100038,E6,0,47.53,3.013,198.64,2.11
LOT-2601,2026-07-06,C-038,SN260100038,E6,24,49.52,3.0138,198.73,2.267
LOT-2601,2026-07-06,C-038,SN260100038,E6,96,49.71,3.0217,200.37,2.236
LOT-2601,2026-07-06,C-038,SN260100038,E6,168,50.83,3.0146,201.55,2.537
LOT-2601,2026-07-06,C-039,SN260100039,E7,0,36.37,2.9877,207.14,1.858
LOT-2601,2026-07-06,C-039,SN260100039,E7,24,40.89,2.9739,207.44,2.238
LOT-2601,2026-07-06,C-039,SN260100039,E7,96,44.09,2.9489,208.59,2.48
LOT-2601,2026-07-06,C-039,SN260100039,E7,168,47.63,2.9438,209.98,2.615
LOT-2601,2026-07-06,C-040,SN260100040,E8,0,39.66,2.9884,210.2,2.473
LOT-2601,2026-07-06,C-040,SN260100040,E8,24,43.64,2.9742,210.19,2.609
LOT-2601,2026-07-06,C-040,SN260100040,E8,96,46.07,2.9648,211.93,2.603
LOT-2601,2026-07-06,C-040,SN260100040,E8,168,48.72,2.9582,212.7,2.783
LOT-2601,2026-07-06,C-041,SN260100041,F1,0,53.09,2.9446,199.89,2.031
LOT-2601,2026-07-06,C-041,SN260100041,F1,24,59.01,2.9224,201.26,2.279
LOT-2601,2026-07-06,C-041,SN260100041,F1,96,65.07,2.91,202.9,2.331
LOT-2601,2026-07-06,C-041,SN260100041,F1,168,72.52,2.8878,204.61,2.385
LOT-2601,2026-07-06,C-042,SN260100042,F2,0,47.69,3.0317,210.3,2.725
LOT-2601,2026-07-06,C-042,SN260100042,F2,24,51.23,3.0196,209.82,2.661
LOT-2601,2026-07-06,C-042,SN260100042,F2,96,56.62,2.9993,211.07,2.878
LOT-2601,2026-07-06,C-042,SN260100042,F2,168,62.16,2.9932,212.01,2.84
LOT-2601,2026-07-06,C-043,SN260100043,F3,0,41.9,3.0394,202.49,2.578
LOT-2601,2026-07-06,C-043,SN260100043,F3,24,44.46,3.0172,202.26,2.66
LOT-2601,2026-07-06,C-043,SN260100043,F3,96,46.94,3.0036,201.26,2.722
LOT-2601,2026-07-06,C-043,SN260100043,F3,168,48.62,3.0037,200.92,2.903
LOT-2601,2026-07-06,C-044,SN260100044,F4,0,60.74,2.963,210.88,2.276
LOT-2601,2026-07-06,C-044,SN260100044,F4,24,64.58,2.9642,211.73,2.473
LOT-2601,2026-07-06,C-044,SN260100044,F4,96,63.51,2.9511,213.33,2.399
LOT-2601,2026-07-06,C-044,SN260100044,F4,168,67.63,2.9498,213.92,2.645
LOT-2601,2026-07-06,C-045,SN260100045,F5,0,57.0,3.0299,205.5,2.534
LOT-2601,2026-07-06,C-045,SN260100045,F5,24,62.2,3.0177,204.84,2.665
LOT-2601,2026-07-06,C-045,SN260100045,F5,96,66.25,2.9938,204.25,2.472
LOT-2601,2026-07-06,C-045,SN260100045,F5,168,69.1,2.994,204.29,2.615
LOT-2601,2026-07-06,C-046,SN260100046,F6,0,51.58,3.0702,197.01,1.535
LOT-2601,2026-07-06,C-046,SN260100046,F6,24,51.7,3.0591,198.86,1.677
LOT-2601,2026-07-06,C-046,SN260100046,F6,96,57.31,3.0492,200.15,1.778
LOT-2601,2026-07-06,C-046,SN260100046,F6,168,59.28,3.0468,200.4,1.825
LOT-2601,2026-07-06,C-047,SN260100047,F7,0,37.73,2.9946,206.93,2.344
LOT-2601,2026-07-06,C-047,SN260100047,F7,24,39.95,2.9823,206.84,2.36
LOT-2601,2026-07-06,C-047,SN260100047,F7,96,44.57,2.9787,208.39,2.304
LOT-2601,2026-07-06,C-047,SN260100047,F7,168,46.93,2.9806,208.61,2.437
LOT-2601,2026-07-06,C-048,SN260100048,F8,0,36.35,3.0325,205.6,2.824
LOT-2601,2026-07-06,C-048,SN260100048,F8,24,37.91,3.0201,206.63,3.037
LOT-2601,2026-07-06,C-048,SN260100048,F8,96,39.67,3.006,208.31,3.105
LOT-2601,2026-07-06,C-048,SN260100048,F8,168,42.17,3.0011,209.56,3.253
LOT-2601,2026-07-06,C-049,SN260100049,G1,0,47.07,2.8768,200.42,1.745
LOT-2601,2026-07-06,C-049,SN260100049,G1,24,49.92,2.868,201.03,1.815
LOT-2601,2026-07-06,C-049,SN260100049,G1,96,54.65,2.8502,202.79,2.019
LOT-2601,2026-07-06,C-049,SN260100049,G1,168,60.36,2.8451,203.88,2.167
LOT-2601,2026-07-06,C-050,SN260100050,G2,0,74.22,3.0878,207.27,2.297
LOT-2601,2026-07-06,C-050,SN260100050,G2,24,78.13,3.0846,208.82,2.276
LOT-2601,2026-07-06,C-050,SN260100050,G2,96,89.34,3.0673,210.5,2.332
LOT-2601,2026-07-06,C-050,SN260100050,G2,168,95.44,3.0515,211.58,2.223
LOT-2601,2026-07-06,C-051,SN260100051,G3,0,47.7,3.0657,208.31,3.25
LOT-2601,2026-07-06,C-051,SN260100051,G3,24,48.64,3.0455,209.68,3.681
LOT-2601,2026-07-06,C-051,SN260100051,G3,96,53.02,3.0196,210.65,3.941
LOT-2601,2026-07-06,C-051,SN260100051,G3,168,54.5,3.0117,212.64,4.093
LOT-2601,2026-07-06,C-052,SN260100052,G4,0,49.17,2.9612,198.25,1.686
LOT-2601,2026-07-06,C-052,SN260100052,G4,24,52.75,2.9386,200.61,1.758
LOT-2601,2026-07-06,C-052,SN260100052,G4,96,56.47,2.9215,201.34,1.881
LOT-2601,2026-07-06,C-052,SN260100052,G4,168,56.96,2.9107,202.72,2.037
LOT-2601,2026-07-06,C-053,SN260100053,G5,0,55.63,2.952,210.5,2.911
LOT-2601,2026-07-06,C-053,SN260100053,G5,24,55.99,2.9343,210.79,3.013
LOT-2601,2026-07-06,C-053,SN260100053,G5,96,64.26,2.9273,211.03,3.615
LOT-2601,2026-07-06,C-053,SN260100053,G5,168,66.23,2.912,210.84,3.926
LOT-2601,2026-07-06,C-054,SN260100054,G6,0,30.48,2.9891,208.04,2.277
LOT-2601,2026-07-06,C-054,SN260100054,G6,24,30.88,2.9884,209.3,2.537
LOT-2601,2026-07-06,C-054,SN260100054,G6,96,32.69,2.9793,210.97,2.642
LOT-2601,2026-07-06,C-054,SN260100054,G6,168,33.8,2.9791,211.13,2.899
LOT-2601,2026-07-06,C-055,SN260100055,G7,0,51.91,3.0225,206.77,2.531
LOT-2601,2026-07-06,C-055,SN260100055,G7,24,54.11,3.0097,208.41,2.914
LOT-2601,2026-07-06,C-055,SN260100055,G7,96,58.16,2.9981,208.88,3.247
LOT-2601,2026-07-06,C-055,SN260100055,G7,168,65.28,2.9892,209.81,3.423
LOT-2601,2026-07-06,C-056,SN260100056,G8,0,47.64,3.0031,206.13,1.713
LOT-2601,2026-07-06,C-056,SN260100056,G8,24,51.46,2.9795,207.51,1.742
LOT-2601,2026-07-06,C-056,SN260100056,G8,96,55.96,2.9678,207.98,1.768
LOT-2601,2026-07-06,C-056,SN260100056,G8,168,57.04,2.9461,209.67,1.817
LOT-2601,2026-07-06,C-057,SN260100057,H1,0,61.68,2.971,201.01,1.944
LOT-2601,2026-07-06,C-057,SN260100057,H1,24,71.71,2.9583,202.12,1.973
LOT-2601,2026-07-06,C-057,SN260100057,H1,96,80.73,2.9401,202.98,2.227
LOT-2601,2026-07-06,C-057,SN260100057,H1,168,90.75,2.9324,204.24,2.147
LOT-2601,2026-07-06,C-058,SN260100058,H2,0,64.32,2.9382,209.89,2.475
LOT-2601,2026-07-06,C-058,SN260100058,H2,24,67.93,2.9305,211.17,2.525
LOT-2601,2026-07-06,C-058,SN260100058,H2,96,73.24,2.9181,212.0,2.606
LOT-2601,2026-07-06,C-058,SN260100058,H2,168,76.52,2.9086,213.77,2.738
LOT-2601,2026-07-06,C-059,SN260100059,H3,0,38.31,3.0936,201.89,2.036
LOT-2601,2026-07-06,C-059,SN260100059,H3,24,43.53,3.0771,202.38,2.133
LOT-2601,2026-07-06,C-059,SN260100059,H3,96,46.13,3.0778,203.59,2.347
LOT-2601,2026-07-06,C-059,SN260100059,H3,168,50.42,3.0731,203.74,2.366
LOT-2601,2026-07-06,C-060,SN260100060,H4,0,52.66,2.9384,206.38,3.036
LOT-2601,2026-07-06,C-060,SN260100060,H4,24,57.58,2.922,206.43,3.009
LOT-2601,2026-07-06,C-060,SN260100060,H4,96,61.79,2.9089,208.15,3.284
LOT-2601,2026-07-06,C-060,SN260100060,H4,168,63.49,2.8987,208.55,3.637
LOT-2601,2026-07-06,C-061,SN260100061,H5,0,54.12,2.9694,205.05,2.74
LOT-2601,2026-07-06,C-061,SN260100061,H5,24,58.36,2.9606,206.35,2.63
LOT-2601,2026-07-06,C-061,SN260100061,H5,96,63.59,2.9512,207.47,2.574
LOT-2601,2026-07-06,C-061,SN260100061,H5,168,66.28,2.9472,209.27,2.682
LOT-2601,2026-07-06,C-062,SN260100062,H6,0,39.67,3.0102,204.23,1.858
LOT-2601,2026-07-06,C-062,SN260100062,H6,24,41.99,3.0174,206.55,1.761
LOT-2601,2026-07-06,C-062,SN260100062,H6,96,48.16,3.0011,210.38,1.792
LOT-2601,2026-07-06,C-062,SN260100062,H6,168,49.32,2.989,211.65,1.909
LOT-2601,2026-07-06,C-063,SN260100063,H7,0,34.75,2.9526,199.18,3.224
LOT-2601,2026-07-06,C-063,SN260100063,H7,24,37.9,2.9491,200.81,3.247
LOT-2601,2026-07-06,C-063,SN260100063,H7,96,40.24,2.9342,202.77,3.373
LOT-2601,2026-07-06,C-063,SN260100063,H7,168,38.8,2.9297,204.09,3.651
LOT-2601,2026-07-06,C-064,SN260100064,H8,0,45.47,2.921,210.51,2.305
LOT-2601,2026-07-06,C-064,SN260100064,H8,24,47.73,2.9154,211.52,2.626
LOT-2601,2026-07-06,C-064,SN260100064,H8,96,53.97,2.9015,212.13,2.51
LOT-2601,2026-07-06,C-064,SN260100064,H8,168,55.03,2.8983,214.13,2.647
LOT-2602,2026-07-20,C-001,SN260200065,A1,0,44.0,2.876,199.72,3.274
LOT-2602,2026-07-20,C-001,SN260200065,A1,24,46.91,2.8523,200.87,3.408
LOT-2602,2026-07-20,C-001,SN260200065,A1,96,49.14,2.8431,203.36,3.647
LOT-2602,2026-07-20,C-001,SN260200065,A1,168,50.4,2.8249,203.14,3.996
LOT-2602,2026-07-20,C-002,SN260200066,A2,0,32.82,2.9223,203.59,3.031
LOT-2602,2026-07-20,C-002,SN260200066,A2,24,35.88,2.9044,206.14,3.713
LOT-2602,2026-07-20,C-002,SN260200066,A2,96,38.35,2.8892,207.65,3.766
LOT-2602,2026-07-20,C-002,SN260200066,A2,168,39.45,2.8817,208.78,4.173
LOT-2602,2026-07-20,C-003,SN260200067,A3,0,36.34,3.0043,205.51,2.331
LOT-2602,2026-07-20,C-003,SN260200067,A3,24,40.16,3.0044,207.64,2.206
LOT-2602,2026-07-20,C-003,SN260200067,A3,96,39.07,3.0016,209.04,2.107
LOT-2602,2026-07-20,C-003,SN260200067,A3,168,41.25,3.01,209.48,2.188
LOT-2602,2026-07-20,C-004,SN260200068,A4,0,44.1,2.8402,194.71,1.948
LOT-2602,2026-07-20,C-004,SN260200068,A4,24,50.5,2.8367,196.65,2.191
LOT-2602,2026-07-20,C-004,SN260200068,A4,96,56.07,2.8168,197.12,2.201
LOT-2602,2026-07-20,C-004,SN260200068,A4,168,62.98,2.81,198.57,2.495
LOT-2602,2026-07-20,C-005,SN260200069,A5,0,50.45,3.0928,211.62,2.722
LOT-2602,2026-07-20,C-005,SN260200069,A5,24,51.59,3.0886,211.8,2.764
LOT-2602,2026-07-20,C-005,SN260200069,A5,96,58.91,3.0933,213.58,2.906
LOT-2602,2026-07-20,C-005,SN260200069,A5,168,61.38,3.0862,213.34,2.688
LOT-2602,2026-07-20,C-006,SN260200070,A6,0,61.46,3.0131,208.95,3.918
LOT-2602,2026-07-20,C-006,SN260200070,A6,24,67.27,3.0012,208.87,4.091
LOT-2602,2026-07-20,C-006,SN260200070,A6,96,79.13,2.99,211.18,4.192
LOT-2602,2026-07-20,C-006,SN260200070,A6,168,80.75,2.9862,212.17,4.584
LOT-2602,2026-07-20,C-007,SN260200071,A7,0,57.72,2.9396,209.82,3.044
LOT-2602,2026-07-20,C-007,SN260200071,A7,24,62.18,2.9406,210.98,3.289
LOT-2602,2026-07-20,C-007,SN260200071,A7,96,63.14,2.9237,211.06,3.343
LOT-2602,2026-07-20,C-007,SN260200071,A7,168,64.02,2.9173,211.77,3.479
LOT-2602,2026-07-20,C-008,SN260200072,A8,0,68.7,3.004,199.66,3.002
LOT-2602,2026-07-20,C-008,SN260200072,A8,24,72.06,3.0022,202.61,3.018
LOT-2602,2026-07-20,C-008,SN260200072,A8,96,78.58,2.9935,204.66,3.175
LOT-2602,2026-07-20,C-008,SN260200072,A8,168,83.18,2.9923,206.09,3.057
LOT-2602,2026-07-20,C-009,SN260200073,B1,0,42.58,2.978,203.34,1.821
LOT-2602,2026-07-20,C-009,SN260200073,B1,24,43.38,2.9744,205.32,1.902
LOT-2602,2026-07-20,C-009,SN260200073,B1,96,47.73,2.9682,207.52,1.917
LOT-2602,2026-07-20,C-009,SN260200073,B1,168,50.6,2.9547,209.69,1.91
LOT-2602,2026-07-20,C-010,SN260200074,B2,0,46.12,3.1369,206.07,2.018
LOT-2602,2026-07-20,C-010,SN260200074,B2,24,51.44,3.1293,208.69,2.231
LOT-2602,2026-07-20,C-010,SN260200074,B2,96,55.9,3.1337,209.51,2.297
LOT-2602,2026-07-20,C-010,SN260200074,B2,168,58.5,3.1317,212.28,2.528
LOT-2602,2026-07-20,C-011,SN260200075,B3,0,58.92,2.9867,208.31,3.288
LOT-2602,2026-07-20,C-011,SN260200075,B3,24,62.39,2.9835,209.4,3.456
LOT-2602,2026-07-20,C-011,SN260200075,B3,96,62.54,2.9652,210.53,4.072
LOT-2602,2026-07-20,C-011,SN260200075,B3,168,63.92,2.9665,211.26,4.302
LOT-2602,2026-07-20,C-012,SN260200076,B4,0,47.28,2.9817,203.99,1.862
LOT-2602,2026-07-20,C-012,SN260200076,B4,24,48.32,2.9695,205.13,1.849
